order_id,timestamp,event_type,side,price,size,trader_id,is_spoof,is_buy,is_sell,is_add,is_cancel,is_execute,order_lifetime,order_age
100001,0.000215,ADD,SELL,100.01,300,9,False,0,1,1,0,0,0.0,0.0
100002,0.000819,ADD,BUY,100.0,100,1,False,1,0,1,0,0,0.0,0.0
100003,0.001213,ADD,BUY,99.96,100,2,False,1,0,1,0,0,0.0,0.0
100002,0.002105,EXECUTE,BUY,100.0,100,1,False,1,0,0,0,1,0.001286,0.001286
100004,0.002551,ADD,BUY,99.98,200,3,False,1,0,1,0,0,0.0,0.0
100005,0.003278,ADD,BUY,100.0,5000,11,True,1,0,1,0,0,0.0,0.0
100005,0.00426,CANCEL,BUY,100.0,5000,11,True,1,0,0,1,0,0.000982,0.000982
100006,0.004581,ADD,SELL,100.01,200,7,False,0,1,1,0,0,0.0,0.0
100007,0.004754,ADD,SELL,99.96,200,8,False,0,1,1,0,0,0.0,0.0
100008,0.005,ADD,SELL,99.98,500,6,False,0,1,1,0,0,0.0,0.0
100007,0.005986,EXECUTE,SELL,99.96,200,8,False,0,1,0,0,1,0.001232,0.001232
100009,0.006502,ADD,BUY,99.99,200,7,False,1,0,1,0,0,0.0,0.0
100010,0.007156,ADD,SELL,100.02,200,1,False,0,1,1,0,0,0.0,0.0
100010,0.008087,EXECUTE,SELL,100.02,200,1,False,0,1,0,0,1,0.000931,0.000931
100011,0.008502,ADD,SELL,99.97,500,10,False,0,1,1,0,0,0.0,0.0
100012,0.009437,ADD,SELL,99.99,200,5,False,0,1,1,0,0,0.0,0.0
100013,0.009735,ADD,SELL,100.03,300,5,False,0,1,1,0,0,0.0,0.0
100008,0.010311,CANCEL,SELL,99.98,500,6,False,0,1,0,1,0,0.005311,0.005311
100014,0.010814,ADD,SELL,99.99,10000,11,True,0,1,1,0,0,0.0,0.0
100012,0.011526,CANCEL,SELL,99.99,200,5,False,0,1,0,1,0,0.002089,0.002089
100015,0.012095,ADD,SELL,100.03,200,3,False,0,1,1,0,0,0.0,0.0
100015,0.012362,CANCEL,SELL,100.03,200,3,False,0,1,0,1,0,0.000267,0.000267
100016,0.013034,ADD,SELL,99.99,100,5,False,0,1,1,0,0,0.0,0.0
100011,0.013135,CANCEL,SELL,99.97,500,10,False,0,1,0,1,0,0.004633,0.004633
100017,0.013564,ADD,BUY,99.96,100,3,False,1,0,1,0,0,0.0,0.0
100018,0.014232,ADD,BUY,99.99,200,6,False,1,0,1,0,0,0.0,0.0
100019,0.015116,ADD,BUY,99.99,100,5,False,1,0,1,0,0,0.0,0.0
100020,0.015987,ADD,SELL,100.03,300,9,False,0,1,1,0,0,0.0,0.0
100021,0.016967,ADD,BUY,100.0,100,4,False,1,0,1,0,0,0.0,0.0
100022,0.017882,ADD,SELL,99.97,100,10,False,0,1,1,0,0,0.0,0.0
100023,0.018816,ADD,SELL,99.99,100,10,False,0,1,1,0,0,0.0,0.0
100024,0.019144,ADD,BUY,99.97,200,4,False,1,0,1,0,0,0.0,0.0
100025,0.019506,ADD,SELL,99.98,300,9,False,0,1,1,0,0,0.0,0.0
100026,0.020381,ADD,BUY,100.0,20000,11,True,1,0,1,0,0,0.0,0.0
100027,0.020736,ADD,SELL,100.04,200,8,False,0,1,1,0,0,0.0,0.0
100028,0.021705,ADD,BUY,100.02,100,2,False,1,0,1,0,0,0.0,0.0
100029,0.021996,ADD,BUY,100.0,100,3,False,1,0,1,0,0,0.0,0.0
100030,0.022875,ADD,BUY,99.97,300,4,False,1,0,1,0,0,0.0,0.0
100017,0.023557,EXECUTE,BUY,99.96,100,3,False,1,0,0,0,1,0.009993,0.009993
100031,0.024128,ADD,SELL,100.0,15000,11,True,0,1,1,0,0,0.0,0.0
100032,0.024326,ADD,SELL,99.98,300,6,False,0,1,1,0,0,0.0,0.0
100033,0.025047,ADD,BUY,100.01,200,7,False,1,0,1,0,0,0.0,0.0
100034,0.025301,ADD,SELL,99.99,200,6,False,0,1,1,0,0,0.0,0.0
100035,0.026,ADD,BUY,100.02,300,10,False,1,0,1,0,0,0.0,0.0
100036,0.026419,ADD,BUY,99.98,500,7,False,1,0,1,0,0,0.0,0.0
100037,0.027418,ADD,SELL,99.95,200,10,False,0,1,1,0,0,0.0,0.0
100038,0.028376,ADD,SELL,100.0,20000,11,True,0,1,1,0,0,0.0,0.0
100039,0.028674,ADD,BUY,99.97,200,7,False,1,0,1,0,0,0.0,0.0
100040,0.029557,ADD,BUY,99.96,200,8,False,1,0,1,0,0,0.0,0.0
100006,0.029883,CANCEL,SELL,100.01,200,7,False,0,1,0,1,0,0.025302,0.025302
100041,0.030858,ADD,SELL,100.01,1000,3,False,0,1,1,0,0,0.0,0.0
100042,0.031398,ADD,BUY,100.02,100,3,False,1,0,1,0,0,0.0,0.0
100043,0.031964,ADD,BUY,99.96,100,6,False,1,0,1,0,0,0.0,0.0
100003,0.032816,EXECUTE,BUY,99.96,100,2,False,1,0,0,0,1,0.031603,0.031603
100025,0.033231,EXECUTE,SELL,99.98,300,9,False,0,1,0,0,1,0.013725,0.013725
100044,0.033598,ADD,BUY,99.99,100,3,False,1,0,1,0,0,0.0,0.0
100033,0.033974,CANCEL,BUY,100.01,200,7,False,1,0,0,1,0,0.008927,0.008927
100039,0.034618,CANCEL,BUY,99.97,200,7,False,1,0,0,1,0,0.005944,0.005944
100045,0.035494,ADD,SELL,99.98,100,8,False,0,1,1,0,0,0.0,0.0
100046,0.035749,ADD,SELL,100.0,100,1,False,0,1,1,0,0,0.0,0.0
100047,0.035993,ADD,BUY,99.98,100,5,False,1,0,1,0,0,0.0,0.0
100022,0.036931,CANCEL,SELL,99.97,100,10,False,0,1,0,1,0,0.019049,0.019049
100048,0.037886,ADD,BUY,99.98,200,7,False,1,0,1,0,0,0.0,0.0
100049,0.038311,ADD,BUY,100.05,200,1,False,1,0,1,0,0,0.0,0.0
100050,0.038957,ADD,SELL,99.99,200,3,False,0,1,1,0,0,0.0,0.0
100051,0.039323,ADD,SELL,99.96,100,4,False,0,1,1,0,0,0.0,0.0
100052,0.040159,ADD,SELL,100.03,200,4,False,0,1,1,0,0,0.0,0.0
100044,0.040954,EXECUTE,BUY,99.99,100,3,False,1,0,0,0,1,0.007356,0.007356
100053,0.041897,ADD,SELL,99.97,100,2,False,0,1,1,0,0,0.0,0.0
100054,0.042443,ADD,SELL,100.04,100,9,False,0,1,1,0,0,0.0,0.0
100055,0.042782,ADD,SELL,99.98,500,7,False,0,1,1,0,0,0.0,0.0
100056,0.043528,ADD,BUY,100.04,100,3,False,1,0,1,0,0,0.0,0.0
100057,0.044439,ADD,SELL,99.96,100,7,False,0,1,1,0,0,0.0,0.0
100058,0.04469,ADD,BUY,99.95,300,8,False,1,0,1,0,0,0.0,0.0
100059,0.044814,ADD,SELL,99.95,500,1,False,0,1,1,0,0,0.0,0.0
100060,0.045225,ADD,BUY,100.0,200,3,False,1,0,1,0,0,0.0,0.0
100049,0.045418,EXECUTE,BUY,100.05,200,1,False,1,0,0,0,1,0.007107,0.007107
100061,0.046261,ADD,SELL,99.99,100,8,False,0,1,1,0,0,0.0,0.0
100062,0.046429,ADD,SELL,99.96,500,7,False,0,1,1,0,0,0.0,0.0
100063,0.046806,ADD,BUY,100.0,200,10,False,1,0,1,0,0,0.0,0.0
100064,0.047778,ADD,BUY,100.0,200,9,False,1,0,1,0,0,0.0,0.0
100065,0.048484,ADD,BUY,99.98,200,4,False,1,0,1,0,0,0.0,0.0
100031,0.048718,CANCEL,SELL,100.0,15000,11,True,0,1,0,1,0,0.02459,0.02459
100054,0.048955,CANCEL,SELL,100.04,100,9,False,0,1,0,1,0,0.006512,0.006512
100066,0.049217,ADD,BUY,99.95,500,9,False,1,0,1,0,0,0.0,0.0
100067,0.049471,ADD,BUY,99.98,100,5,False,1,0,1,0,0,0.0,0.0
100068,0.04966,ADD,SELL,100.02,200,1,False,0,1,1,0,0,0.0,0.0
100069,0.0505,ADD,SELL,100.0,300,2,False,0,1,1,0,0,0.0,0.0
100030,0.05076,EXECUTE,BUY,99.97,300,4,False,1,0,0,0,1,0.027885,0.027885
100061,0.051082,EXECUTE,SELL,99.99,100,8,False,0,1,0,0,1,0.004821,0.004821
100034,0.05204,EXECUTE,SELL,99.99,200,6,False,0,1,0,0,1,0.026739,0.026739
100070,0.052597,ADD,SELL,99.98,200,2,False,0,1,1,0,0,0.0,0.0
100071,0.052861,ADD,SELL,100.01,300,1,False,0,1,1,0,0,0.0,0.0
100072,0.05378,ADD,SELL,99.97,300,2,False,0,1,1,0,0,0.0,0.0
100050,0.054116,CANCEL,SELL,99.99,200,3,False,0,1,0,1,0,0.015159,0.015159
100073,0.05431,ADD,SELL,100.04,200,7,False,0,1,1,0,0,0.0,0.0
100074,0.054445,ADD,SELL,100.0,100,4,False,0,1,1,0,0,0.0,0.0
100075,0.054938,ADD,BUY,99.96,200,6,False,1,0,1,0,0,0.0,0.0
100076,0.055699,ADD,BUY,100.05,200,1,False,1,0,1,0,0,0.0,0.0
100077,0.056549,ADD,SELL,100.04,500,4,False,0,1,1,0,0,0.0,0.0
100026,0.057348,CANCEL,BUY,100.0,20000,11,True,1,0,0,1,0,0.036967,0.036967
100038,0.058187,CANCEL,SELL,100.0,20000,11,True,0,1,0,1,0,0.029811,0.029811
100078,0.058858,ADD,SELL,99.96,300,10,False,0,1,1,0,0,0.0,0.0
100079,0.0592,ADD,SELL,100.01,100,6,False,0,1,1,0,0,0.0,0.0
100080,0.059901,ADD,SELL,99.98,200,4,False,0,1,1,0,0,0.0,0.0
100080,0.060755,EXECUTE,SELL,99.98,200,4,False,0,1,0,0,1,0.000854,0.000854
100081,0.061325,ADD,SELL,100.04,300,7,False,0,1,1,0,0,0.0,0.0
100082,0.06202,ADD,SELL,99.98,200,3,False,0,1,1,0,0,0.0,0.0
100077,0.062612,EXECUTE,SELL,100.04,500,4,False,0,1,0,0,1,0.006063,0.006063
100083,0.062866,ADD,BUY,100.03,300,10,False,1,0,1,0,0,0.0,0.0
100071,0.063838,EXECUTE,SELL,100.01,300,1,False,0,1,0,0,1,0.010977,0.010977
100084,0.06472,ADD,BUY,100.0,100,6,False,1,0,1,0,0,0.0,0.0
100084,0.065714,EXECUTE,BUY,100.0,100,6,False,1,0,0,0,1,0.000994,0.000994
100085,0.066297,ADD,SELL,100.02,300,10,False,0,1,1,0,0,0.0,0.0
100086,0.067097,ADD,BUY,100.01,500,5,False,1,0,1,0,0,0.0,0.0
100087,0.067264,ADD,BUY,99.96,100,6,False,1,0,1,0,0,0.0,0.0
100040,0.067659,EXECUTE,BUY,99.96,200,8,False,1,0,0,0,1,0.038102,0.038102
100088,0.068405,ADD,SELL,100.03,300,5,False,0,1,1,0,0,0.0,0.0
100079,0.069183,EXECUTE,SELL,100.01,100,6,False,0,1,0,0,1,0.009983,0.009983
100089,0.06986,ADD,BUY,100.03,100,7,False,1,0,1,0,0,0.0,0.0
100090,0.070394,ADD,SELL,99.95,100,1,False,0,1,1,0,0,0.0,0.0
100066,0.071366,EXECUTE,BUY,99.95,500,9,False,1,0,0,0,1,0.022149,0.022149
100091,0.071998,ADD,BUY,99.96,100,10,False,1,0,1,0,0,0.0,0.0
100018,0.072111,EXECUTE,BUY,99.99,200,6,False,1,0,0,0,1,0.057879,0.057879
100092,0.072275,ADD,SELL,99.96,200,4,False,0,1,1,0,0,0.0,0.0
100093,0.072566,ADD,BUY,100.01,10000,11,True,1,0,1,0,0,0.0,0.0
100094,0.07306,ADD,SELL,99.97,300,6,False,0,1,1,0,0,0.0,0.0
100095,0.073343,ADD,BUY,99.99,100,10,False,1,0,1,0,0,0.0,0.0
100082,0.073495,EXECUTE,SELL,99.98,200,3,False,0,1,0,0,1,0.011475,0.011475
100096,0.073761,ADD,BUY,99.97,100,10,False,1,0,1,0,0,0.0,0.0
100097,0.074181,ADD,BUY,99.95,200,1,False,1,0,1,0,0,0.0,0.0
100098,0.074406,ADD,SELL,99.99,100,1,False,0,1,1,0,0,0.0,0.0
100047,0.074758,CANCEL,BUY,99.98,100,5,False,1,0,0,1,0,0.038765,0.038765
100099,0.074966,ADD,SELL,100.05,200,3,False,0,1,1,0,0,0.0,0.0
100100,0.075914,ADD,BUY,100.03,100,1,False,1,0,1,0,0,0.0,0.0
100032,0.076419,EXECUTE,SELL,99.98,300,6,False,0,1,0,0,1,0.052093,0.052093
100101,0.077015,ADD,SELL,100.01,200,10,False,0,1,1,0,0,0.0,0.0
100102,0.077181,ADD,SELL,100.03,100,8,False,0,1,1,0,0,0.0,0.0
100103,0.077966,ADD,SELL,100.0,15000,11,True,0,1,1,0,0,0.0,0.0
100104,0.078436,ADD,BUY,99.99,200,3,False,1,0,1,0,0,0.0,0.0
100046,0.079087,EXECUTE,SELL,100.0,100,1,False,0,1,0,0,1,0.043338,0.043338
100105,0.079402,ADD,SELL,99.96,100,2,False,0,1,1,0,0,0.0,0.0
100106,0.079596,ADD,SELL,99.97,100,3,False,0,1,1,0,0,0.0,0.0
100107,0.080269,ADD,BUY,100.04,100,6,False,1,0,1,0,0,0.0,0.0
100108,0.081114,ADD,BUY,100.0,10000,11,True,1,0,1,0,0,0.0,0.0
100109,0.081757,ADD,BUY,100.03,300,8,False,1,0,1,0,0,0.0,0.0
100035,0.082313,EXECUTE,BUY,100.02,300,10,False,1,0,0,0,1,0.056313,0.056313
100110,0.083278,ADD,SELL,100.02,200,9,False,0,1,1,0,0,0.0,0.0
100111,0.083604,ADD,BUY,99.99,300,2,False,1,0,1,0,0,0.0,0.0
100112,0.083741,ADD,SELL,99.97,100,7,False,0,1,1,0,0,0.0,0.0
100113,0.084689,ADD,BUY,100.03,100,1,False,1,0,1,0,0,0.0,0.0
100094,0.084934,EXECUTE,SELL,99.97,300,6,False,0,1,0,0,1,0.011874,0.011874
100114,0.085499,ADD,BUY,100.04,100,6,False,1,0,1,0,0,0.0,0.0
100115,0.086277,ADD,BUY,99.99,300,6,False,1,0,1,0,0,0.0,0.0
100116,0.086801,ADD,SELL,99.96,300,8,False,0,1,1,0,0,0.0,0.0
100117,0.087767,ADD,BUY,100.04,200,5,False,1,0,1,0,0,0.0,0.0
100021,0.088683,EXECUTE,BUY,100.0,100,4,False,1,0,0,0,1,0.071716,0.071716
100118,0.089268,ADD,BUY,99.98,300,8,False,1,0,1,0,0,0.0,0.0
100119,0.089484,ADD,BUY,100.0,15000,11,True,1,0,1,0,0,0.0,0.0
100016,0.090309,CANCEL,SELL,99.99,100,5,False,0,1,0,1,0,0.077275,0.077275
100120,0.09045,ADD,SELL,100.03,500,1,False,0,1,1,0,0,0.0,0.0
100121,0.090622,ADD,SELL,100.05,200,4,False,0,1,1,0,0,0.0,0.0
100122,0.090724,ADD,BUY,100.05,200,9,False,1,0,1,0,0,0.0,0.0
100123,0.091327,ADD,BUY,100.04,200,8,False,1,0,1,0,0,0.0,0.0
100124,0.091536,ADD,SELL,100.04,200,3,False,0,1,1,0,0,0.0,0.0
